ontology	GO_id	description
BP	GO:0001504	neurotransmitter uptake
BP	GO:0001505	regulation of neurotransmitter levels
BP	GO:0001507	acetylcholine catabolic process in synaptic cleft
BP	GO:0001508	action potential
BP	GO:0001510	RNA methylation
BP	GO:0001514	selenocysteine incorporation
BP	GO:0001516	prostaglandin biosynthetic process
BP	GO:0001519	peptide amidation
BP	GO:0001522	pseudouridine synthesis
BP	GO:0001523	retinoid metabolic process
BP	GO:0001525	angiogenesis
BP	GO:0001539	cilium or flagellum-dependent cell motility
BP	GO:0001541	ovarian follicle development
BP	GO:0001553	luteinization
BP	GO:0001558	regulation of cell growth
BP	GO:0001561	fatty acid alpha-oxidation
BP	GO:0001568	blood vessel development
BP	GO:0001570	vasculogenesis
BP	GO:0001573	ganglioside metabolic process
BP	GO:0001578	microtubule bundle formation
BP	GO:0001579	medium-chain fatty acid transport
BP	GO:0001649	osteoblast differentiation
BP	GO:0001654	eye development
BP	GO:0001655	urogenital system development
BP	GO:0001656	metanephros development
BP	GO:0001659	temperature homeostasis
BP	GO:0001666	response to hypoxia
BP	GO:0001667	ameboidal-type cell migration
BP	GO:0001672	regulation of chromatin assembly or disassembly
BP	GO:0001676	long-chain fatty acid metabolic process
BP	GO:0001678	cellular glucose homeostasis
BP	GO:0001680	tRNA 3'-terminal CCA addition
BP	GO:0001682	tRNA 5'-leader removal
BP	GO:0001700	embryonic development via the syncytial blastoderm
BP	GO:0001701	in utero embryonic development
BP	GO:0001702	gastrulation with mouth forming second
BP	GO:0001704	formation of primary germ layer
BP	GO:0001707	mesoderm formation
BP	GO:0001731	formation of translation preinitiation complex
BP	GO:0001754	eye photoreceptor cell differentiation
BP	GO:0001756	somitogenesis
BP	GO:0001762	beta-alanine transport
BP	GO:0001763	morphogenesis of a branching structure
BP	GO:0001764	neuron migration
BP	GO:0001773	myeloid dendritic cell activation
BP	GO:0001775	cell activation
BP	GO:0001776	leukocyte homeostasis
BP	GO:0001780	neutrophil homeostasis
BP	GO:0001816	cytokine production
BP	GO:0001817	regulation of cytokine production
BP	GO:0001818	negative regulation of cytokine production
BP	GO:0001819	positive regulation of cytokine production
BP	GO:0001822	kidney development
BP	GO:0001836	release of cytochrome c from mitochondria
BP	GO:0001838	embryonic epithelial tube formation
BP	GO:0001841	neural tube formation
BP	GO:0001843	neural tube closure
BP	GO:0001845	phagolysosome assembly
BP	GO:0001868	regulation of complement activation, lectin pathway
BP	GO:0001869	negative regulation of complement activation, lectin pathway
BP	GO:0001878	response to yeast
BP	GO:0001885	endothelial cell development
BP	GO:0001886	endothelial cell morphogenesis
BP	GO:0001887	selenium compound metabolic process
BP	GO:0001889	liver development
BP	GO:0001890	placenta development
BP	GO:0001893	maternal placenta development
BP	GO:0001894	tissue homeostasis
BP	GO:0001895	retina homeostasis
BP	GO:0001896	autolysis
BP	GO:0001897	cytolysis by symbiont of host cells
BP	GO:0001898	regulation of cytolysis by symbiont of host cells
BP	GO:0001899	negative regulation of cytolysis by symbiont of host cells
BP	GO:0001900	positive regulation of cytolysis by symbiont of host cells
BP	GO:0001906	cell killing
BP	GO:0001907	killing by symbiont of host cells
BP	GO:0001909	leukocyte mediated cytotoxicity
BP	GO:0001910	regulation of leukocyte mediated cytotoxicity
BP	GO:0001911	negative regulation of leukocyte mediated cytotoxicity
BP	GO:0001912	positive regulation of leukocyte mediated cytotoxicity
BP	GO:0001913	T cell mediated cytotoxicity
BP	GO:0001914	regulation of T cell mediated cytotoxicity
BP	GO:0001916	positive regulation of T cell mediated cytotoxicity
BP	GO:0001932	regulation of protein phosphorylation
BP	GO:0001933	negative regulation of protein phosphorylation
BP	GO:0001934	positive regulation of protein phosphorylation
BP	GO:0001935	endothelial cell proliferation
BP	GO:0001936	regulation of endothelial cell proliferation
BP	GO:0001938	positive regulation of endothelial cell proliferation
BP	GO:0001941	postsynaptic membrane organization
BP	GO:0001944	vasculature development
BP	GO:0001945	lymph vessel development
BP	GO:0001947	heart looping
BP	GO:0001949	sebaceous gland cell differentiation
BP	GO:0001952	regulation of cell-matrix adhesion
BP	GO:0001953	negative regulation of cell-matrix adhesion
BP	GO:0001955	blood vessel maturation
BP	GO:0001958	endochondral ossification
BP	GO:0001959	regulation of cytokine-mediated signaling pathway
BP	GO:0001960	negative regulation of cytokine-mediated signaling pathway
BP	GO:0001967	suckling behavior
BP	GO:0001969	regulation of activation of membrane attack complex
BP	GO:0001971	negative regulation of activation of membrane attack complex
BP	GO:0001975	response to amphetamine
BP	GO:0001976	nervous system process involved in regulation of systemic arterial blood pressure
BP	GO:0001976	neurological system process involved in regulation of systemic arterial blood pressure
BP	GO:0002009	morphogenesis of an epithelium
BP	GO:0002027	regulation of heart rate
BP	GO:0002028	regulation of sodium ion transport
BP	GO:0002047	phenazine biosynthetic process
BP	GO:0002048	pyoverdine metabolic process
BP	GO:0002049	pyoverdine biosynthetic process
BP	GO:0002064	epithelial cell development
BP	GO:0002065	columnar/cuboidal epithelial cell differentiation
BP	GO:0002066	columnar/cuboidal epithelial cell development
BP	GO:0002072	optic cup morphogenesis involved in camera-type eye development
BP	GO:0002082	regulation of oxidative phosphorylation
BP	GO:0002084	protein depalmitoylation
BP	GO:0002087	regulation of respiratory gaseous exchange by nervous system process
BP	GO:0002088	lens development in camera-type eye
BP	GO:0002093	auditory receptor cell morphogenesis
BP	GO:0002097	tRNA wobble base modification
BP	GO:0002098	tRNA wobble uridine modification
BP	GO:0002099	tRNA wobble guanine modification
BP	GO:0002100	tRNA wobble adenosine to inosine editing
BP	GO:0002101	tRNA wobble cytosine modification
BP	GO:0002109	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA,5S)
BP	GO:0002118	aggressive behavior
BP	GO:0002119	nematode larval development
BP	GO:0002121	inter-male aggressive behavior
BP	GO:0002128	tRNA nucleoside ribose methylation
BP	GO:0002130	wobble position ribose methylation
BP	GO:0002131	wobble position cytosine ribose methylation
BP	GO:0002132	wobble position uridine ribose methylation
BP	GO:0002136	tRNA wobble base lysidine biosynthesis
BP	GO:0002138	retinoic acid biosynthetic process
BP	GO:0002143	tRNA wobble position uridine thiolation
BP	GO:0002148	hypochlorous acid metabolic process
BP	GO:0002149	hypochlorous acid biosynthetic process
BP	GO:0002164	larval development
BP	GO:0002165	instar larval or pupal development
BP	GO:0002168	instar larval development
BP	GO:0002181	cytoplasmic translation
BP	GO:0002183	cytoplasmic translational initiation
BP	GO:0002184	cytoplasmic translational termination
BP	GO:0002188	translation reinitiation
BP	GO:0002195	2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine-tRNA biosynthesis
BP	GO:0002200	somatic diversification of immune receptors
BP	GO:0002204	somatic recombination of immunoglobulin genes involved in immune response
BP	GO:0002208	somatic diversification of immunoglobulins involved in immune response
BP	GO:0002213	defense response to insect
BP	GO:0002215	defense response to nematode
BP	GO:0002218	activation of innate immune response
BP	GO:0002221	pattern recognition receptor signaling pathway
BP	GO:0002224	toll-like receptor signaling pathway
BP	GO:0002225	positive regulation of antimicrobial peptide production
BP	GO:0002228	natural killer cell mediated immunity
BP	GO:0002229	defense response to oomycetes
BP	GO:0002237	response to molecule of bacterial origin
BP	GO:0002239	response to oomycetes
BP	GO:0002244	hematopoietic progenitor cell differentiation
BP	GO:0002246	wound healing involved in inflammatory response
BP	GO:0002250	adaptive immune response
BP	GO:0002252	immune effector process
BP	GO:0002253	activation of immune response
BP	GO:0002262	myeloid cell homeostasis
BP	GO:0002263	cell activation involved in immune response
BP	GO:0002274	myeloid leukocyte activation
BP	GO:0002275	myeloid cell activation involved in immune response
BP	GO:0002283	neutrophil activation involved in immune response
BP	GO:0002285	lymphocyte activation involved in immune response
BP	GO:0002312	B cell activation involved in immune response
BP	GO:0002366	leukocyte activation involved in immune response
BP	GO:0002376	immune system process
BP	GO:0002377	immunoglobulin production
BP	GO:0002381	immunoglobulin production involved in immunoglobulin mediated immune response
BP	GO:0002429	immune response-activating cell surface receptor signaling pathway
BP	GO:0002437	inflammatory response to antigenic stimulus
BP	GO:0002439	chronic inflammatory response to antigenic stimulus
BP	GO:0002440	production of molecular mediator of immune response
BP	GO:0002443	leukocyte mediated immunity
BP	GO:0002444	myeloid leukocyte mediated immunity
BP	GO:0002446	neutrophil mediated immunity
BP	GO:0002448	mast cell mediated immunity
BP	GO:0002449	lymphocyte mediated immunity
BP	GO:0002455	humoral immune response mediated by circulating immunoglobulin
BP	GO:0002456	T cell mediated immunity
BP	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
BP	GO:0002467	germinal center formation
BP	GO:0002474	antigen processing and presentation of peptide antigen via MHC class I
BP	GO:0002478	antigen processing and presentation of exogenous peptide antigen
BP	GO:0002479	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent
BP	GO:0002520	immune system development
BP	GO:0002521	leukocyte differentiation
BP	GO:0002526	acute inflammatory response
BP	GO:0002532	production of molecular mediator involved in inflammatory response
BP	GO:0002534	cytokine production involved in inflammatory response
BP	GO:0002536	respiratory burst involved in inflammatory response
BP	GO:0002544	chronic inflammatory response
BP	GO:0002562	somatic diversification of immune receptors via germline recombination within a single locus
BP	GO:0002566	somatic diversification of immune receptors via somatic mutation
BP	GO:0002573	myeloid leukocyte differentiation
BP	GO:0002576	platelet degranulation
BP	GO:0002577	regulation of antigen processing and presentation
BP	GO:0002578	negative regulation of antigen processing and presentation
BP	GO:0002637	regulation of immunoglobulin production
BP	GO:0002639	positive regulation of immunoglobulin production
BP	GO:0002643	regulation of tolerance induction
BP	GO:0002645	positive regulation of tolerance induction
BP	GO:0002664	regulation of T cell tolerance induction
BP	GO:0002666	positive regulation of T cell tolerance induction
BP	GO:0002676	regulation of chronic inflammatory response
BP	GO:0002678	positive regulation of chronic inflammatory response
BP	GO:0002679	respiratory burst involved in defense response
BP	GO:0002682	regulation of immune system process
BP	GO:0002683	negative regulation of immune system process
BP	GO:0002684	positive regulation of immune system process
BP	GO:0002685	regulation of leukocyte migration
BP	GO:0002686	negative regulation of leukocyte migration
BP	GO:0002687	positive regulation of leukocyte migration
BP	GO:0002688	regulation of leukocyte chemotaxis
BP	GO:0002689	negative regulation of leukocyte chemotaxis
BP	GO:0002690	positive regulation of leukocyte chemotaxis
BP	GO:0002691	regulation of cellular extravasation
BP	GO:0002692	negative regulation of cellular extravasation
BP	GO:0002694	regulation of leukocyte activation
BP	GO:0002695	negative regulation of leukocyte activation
BP	GO:0002696	positive regulation of leukocyte activation
BP	GO:0002697	regulation of immune effector process
BP	GO:0002698	negative regulation of immune effector process
BP	GO:0002699	positive regulation of immune effector process
BP	GO:0002700	regulation of production of molecular mediator of immune response
BP	GO:0002702	positive regulation of production of molecular mediator of immune response
BP	GO:0002703	regulation of leukocyte mediated immunity
BP	GO:0002704	negative regulation of leukocyte mediated immunity
BP	GO:0002705	positive regulation of leukocyte mediated immunity
BP	GO:0002706	regulation of lymphocyte mediated immunity
BP	GO:0002707	negative regulation of lymphocyte mediated immunity
BP	GO:0002708	positive regulation of lymphocyte mediated immunity
BP	GO:0002709	regulation of T cell mediated immunity
BP	GO:0002711	positive regulation of T cell mediated immunity
BP	GO:0002712	regulation of B cell mediated immunity
BP	GO:0002713	negative regulation of B cell mediated immunity
BP	GO:0002714	positive regulation of B cell mediated immunity
BP	GO:0002715	regulation of natural killer cell mediated immunity
BP	GO:0002716	negative regulation of natural killer cell mediated immunity
BP	GO:0002718	regulation of cytokine production involved in immune response
BP	GO:0002720	positive regulation of cytokine production involved in immune response
BP	GO:0002730	regulation of dendritic cell cytokine production
BP	GO:0002732	positive regulation of dendritic cell cytokine production
BP	GO:0002733	regulation of myeloid dendritic cell cytokine production
BP	GO:0002735	positive regulation of myeloid dendritic cell cytokine production
BP	GO:0002755	MyD88-dependent toll-like receptor signaling pathway
BP	GO:0002756	MyD88-independent toll-like receptor signaling pathway
BP	GO:0002757	immune response-activating signal transduction
BP	GO:0002758	innate immune response-activating signal transduction
BP	GO:0002759	regulation of antimicrobial humoral response
BP	GO:0002760	positive regulation of antimicrobial humoral response
BP	GO:0002761	regulation of myeloid leukocyte differentiation
BP	GO:0002762	negative regulation of myeloid leukocyte differentiation
BP	GO:0002764	immune response-regulating signaling pathway
BP	GO:0002768	immune response-regulating cell surface receptor signaling pathway
BP	GO:0002775	antimicrobial peptide production
BP	GO:0002776	antimicrobial peptide secretion
BP	GO:0002777	antimicrobial peptide biosynthetic process
BP	GO:0002778	antibacterial peptide production
BP	GO:0002779	antibacterial peptide secretion
BP	GO:0002780	antibacterial peptide biosynthetic process
BP	GO:0002784	regulation of antimicrobial peptide production
BP	GO:0002786	regulation of antibacterial peptide production
BP	GO:0002790	peptide secretion
BP	GO:0002791	regulation of peptide secretion
BP	GO:0002792	negative regulation of peptide secretion
BP	GO:0002793	positive regulation of peptide secretion
BP	GO:0002803	positive regulation of antibacterial peptide production
BP	GO:0002805	regulation of antimicrobial peptide biosynthetic process
BP	GO:0002807	positive regulation of antimicrobial peptide biosynthetic process
BP	GO:0002808	regulation of antibacterial peptide biosynthetic process
BP	GO:0002816	regulation of biosynthetic process of antibacterial peptides active against Gram-positive bacteria
BP	GO:0002819	regulation of adaptive immune response
BP	GO:0002820	negative regulation of adaptive immune response
BP	GO:0002821	positive regulation of adaptive immune response
BP	GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
BP	GO:0002823	negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
BP	GO:0002824	positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
BP	GO:0002828	regulation of type 2 immune response
BP	GO:0002830	positive regulation of type 2 immune response
BP	GO:0002831	regulation of response to biotic stimulus
BP	GO:0002832	negative regulation of response to biotic stimulus
BP	GO:0002833	positive regulation of response to biotic stimulus
BP	GO:0002886	regulation of myeloid leukocyte mediated immunity
BP	GO:0002888	positive regulation of myeloid leukocyte mediated immunity
BP	GO:0002889	regulation of immunoglobulin mediated immune response
BP	GO:0002890	negative regulation of immunoglobulin mediated immune response
BP	GO:0002891	positive regulation of immunoglobulin mediated immune response
BP	GO:0002902	regulation of B cell apoptotic process
BP	GO:0002903	negative regulation of B cell apoptotic process
BP	GO:0002905	regulation of mature B cell apoptotic process
BP	GO:0002906	negative regulation of mature B cell apoptotic process
BP	GO:0002920	regulation of humoral immune response
BP	GO:0002921	negative regulation of humoral immune response
BP	GO:0002922	positive regulation of humoral immune response
BP	GO:0002923	regulation of humoral immune response mediated by circulating immunoglobulin
BP	GO:0002924	negative regulation of humoral immune response mediated by circulating immunoglobulin
BP	GO:0002926	tRNA wobble base 5-methoxycarbonylmethyl-2-thiouridinylation
BP	GO:0002931	response to ischemia
BP	GO:0002937	tRNA 4-thiouridine biosynthesis
BP	GO:0002938	tRNA guanine ribose methylation
BP	GO:0002939	tRNA N1-guanine methylation
BP	GO:0002940	tRNA N2-guanine methylation
BP	GO:0002943	tRNA dihydrouridine synthesis
BP	GO:0002949	tRNA threonylcarbamoyladenosine modification
BP	GO:0003002	regionalization
BP	GO:0003006	developmental process involved in reproduction
BP	GO:0003007	heart morphogenesis
BP	GO:0003008	system process
BP	GO:0003012	muscle system process
BP	GO:0003013	circulatory system process
BP	GO:0003014	renal system process
BP	GO:0003015	heart process
BP	GO:0003018	vascular process in circulatory system
BP	GO:0003032	detection of oxygen
BP	GO:0003044	regulation of systemic arterial blood pressure mediated by a chemical signal
BP	GO:0003068	regulation of systemic arterial blood pressure by acetylcholine
BP	GO:0003069	acetylcholine-mediated vasodilation involved in regulation of systemic arterial blood pressure
BP	GO:0003070	regulation of systemic arterial blood pressure by neurotransmitter
BP	GO:0003073	regulation of systemic arterial blood pressure
BP	GO:0003085	negative regulation of systemic arterial blood pressure
BP	GO:0003091	renal water homeostasis
BP	GO:0003097	renal water transport
BP	GO:0003143	embryonic heart tube morphogenesis
BP	GO:0003158	endothelium development
BP	GO:0003170	heart valve development
BP	GO:0003171	atrioventricular valve development
BP	GO:0003179	heart valve morphogenesis
BP	GO:0003181	atrioventricular valve morphogenesis
BP	GO:0003188	heart valve formation
BP	GO:0003190	atrioventricular valve formation
BP	GO:0003197	endocardial cushion development
BP	GO:0003203	endocardial cushion morphogenesis
BP	GO:0003205	cardiac chamber development
BP	GO:0003206	cardiac chamber morphogenesis
BP	GO:0003208	cardiac ventricle morphogenesis
BP	GO:0003228	atrial cardiac muscle tissue development
BP	GO:0003229	ventricular cardiac muscle tissue development
BP	GO:0003231	cardiac ventricle development
BP	GO:0003232	bulbus arteriosus development
BP	GO:0003272	endocardial cushion formation
BP	GO:0003333	amino acid transmembrane transport
BP	GO:0003341	cilium movement
BP	GO:0003376	sphingosine-1-phosphate receptor signaling pathway
BP	GO:0003382	epithelial cell morphogenesis
BP	GO:0003407	neural retina development
BP	GO:0005975	carbohydrate metabolic process
BP	GO:0005976	polysaccharide metabolic process
BP	GO:0005977	glycogen metabolic process
BP	GO:0005978	glycogen biosynthetic process
BP	GO:0005980	glycogen catabolic process
BP	GO:0005981	regulation of glycogen catabolic process
BP	GO:0005982	starch metabolic process
BP	GO:0005983	starch catabolic process
BP	GO:0005984	disaccharide metabolic process
BP	GO:0005985	sucrose metabolic process
BP	GO:0005986	sucrose biosynthetic process
BP	GO:0005987	sucrose catabolic process
BP	GO:0005988	lactose metabolic process
BP	GO:0005989	lactose biosynthetic process
BP	GO:0005990	lactose catabolic process
BP	GO:0005991	trehalose metabolic process
BP	GO:0005992	trehalose biosynthetic process
BP	GO:0005993	trehalose catabolic process
BP	GO:0005994	melibiose metabolic process
BP	GO:0005995	melibiose catabolic process
BP	GO:0005996	monosaccharide metabolic process
BP	GO:0005997	xylulose metabolic process
BP	GO:0005998	xylulose catabolic process
BP	GO:0005999	xylulose biosynthetic process
BP	GO:0006000	fructose metabolic process
BP	GO:0006001	fructose catabolic process
BP	GO:0006002	fructose 6-phosphate metabolic process
BP	GO:0006003	fructose 2,6-bisphosphate metabolic process
BP	GO:0006004	fucose metabolic process
BP	GO:0006005	L-fucose biosynthetic process
BP	GO:0006006	glucose metabolic process
BP	GO:0006007	glucose catabolic process
BP	GO:0006011	UDP-glucose metabolic process
BP	GO:0006012	galactose metabolic process
BP	GO:0006013	mannose metabolic process
BP	GO:0006014	D-ribose metabolic process
BP	GO:0006015	5-phosphoribose 1-diphosphate biosynthetic process
BP	GO:0006020	inositol metabolic process
BP	GO:0006021	inositol biosynthetic process
BP	GO:0006022	aminoglycan metabolic process
BP	GO:0006023	aminoglycan biosynthetic process
BP	GO:0006024	glycosaminoglycan biosynthetic process
BP	GO:0006026	aminoglycan catabolic process
BP	GO:0006027	glycosaminoglycan catabolic process
BP	GO:0006029	proteoglycan metabolic process
BP	GO:0006030	chitin metabolic process
BP	GO:0006031	chitin biosynthetic process
BP	GO:0006032	chitin catabolic process
BP	GO:0006037	cell wall chitin metabolic process
BP	GO:0006039	cell wall chitin catabolic process
BP	GO:0006040	amino sugar metabolic process
BP	GO:0006041	glucosamine metabolic process
BP	GO:0006043	glucosamine catabolic process
BP	GO:0006044	N-acetylglucosamine metabolic process
BP	GO:0006045	N-acetylglucosamine biosynthetic process
BP	GO:0006046	N-acetylglucosamine catabolic process
BP	GO:0006047	UDP-N-acetylglucosamine metabolic process
