GO_id	description	ontology	why	original_keyword	behaviour
GO:0002757	immune response-activating signal transduction	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0002758	innate immune response-activating signal transduction	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0002764	immune response-regulating signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0002768	immune response-regulating cell surface receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0003376	sphingosine-1-phosphate receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0004309	exopolyphosphatase activity	MF	keyword match	exopoly	biofilm
GO:0005178	integrin binding	MF	child of GO:0050839	adhesi	biofilm
GO:0005198	structural molecule activity	MF	parent of GO:0005201	extracellular matrix	biofilm
GO:0005201	extracellular matrix structural constituent	MF	keyword match	extracellular matrix	biofilm
GO:0005488	binding	MF	parent of GO:0050840	extracellular matrix	biofilm
GO:0005515	protein binding	MF	parent of GO:0050839	adhesi	biofilm
GO:0005583	fibrillar collagen trimer	CC	child of GO:0031012	extracellular matrix	biofilm
GO:0005588	collagen type V trimer	CC	child of GO:0031012	extracellular matrix	biofilm
GO:0005604	basement membrane	CC	child of GO:0031012	extracellular matrix	biofilm
GO:0005924	cell-substrate adherens junction	CC	parent of GO:0005925	adhesi	biofilm
GO:0005925	focal adhesion	CC	keyword match	adhesi	biofilm
GO:0006068	ethanol catabolic process	BP	child of GO:0017001	antibiotic catabolic process	antibiotic_degradation
GO:0006984	ER-nucleus signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0006995	cellular response to nitrogen starvation	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0007154	cell communication	BP	keyword match	cell communication	quorum_sensing
GO:0007155	cell adhesion	BP	keyword match	adhesi	biofilm
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	BP	keyword match	adhesi	biofilm
GO:0007157	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	BP	keyword match	adhesi	biofilm
GO:0007159	leukocyte cell-cell adhesion	BP	keyword match	adhesi	biofilm
GO:0007160	cell-matrix adhesion	BP	keyword match	adhesi	biofilm
GO:0007162	negative regulation of cell adhesion	BP	keyword match	adhesi	biofilm
GO:0007165	signal transduction	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0007166	cell surface receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0007167	enzyme linked receptor protein signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0007172	signal complex assembly	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0007179	transforming growth factor beta receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0007183	SMAD protein complex assembly	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0007186	G protein-coupled receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0007187	"G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger"	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0007188	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0007205	protein kinase C-activating G protein-coupled receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0007213	G protein-coupled acetylcholine receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0007215	glutamate receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0007217	tachykinin receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0007218	neuropeptide signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0007219	Notch signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0007224	smoothened signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0007229	integrin-mediated signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0007231	osmosensory signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0007232	osmosensory signaling pathway via Sho1 osmosensor	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0007234	osmosensory signaling via phosphorelay pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0007264	small GTPase mediated signal transduction	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0007265	Ras protein signal transduction	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0007267	cell-cell signaling	BP	parent of GO:0010699	quorum sensing	quorum_sensing
GO:0007268	chemical synaptic transmission	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0007269	neurotransmitter secretion	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0007271	"synaptic transmission, cholinergic"	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0007274	neuromuscular synaptic transmission	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0007602	phototransduction	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0007603	"phototransduction, visible light"	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0008277	regulation of G protein-coupled receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0008286	insulin receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0008305	integrin complex	CC	child of GO:0098636	adhesi	biofilm
GO:0008543	fibroblast growth factor receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0008589	regulation of smoothened signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0008631	intrinsic apoptotic signaling pathway in response to oxidative stress	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0008800	beta-lactamase activity	MF	keyword match	beta-lactamase	antibiotic_degradation
GO:0008849	enterochelin esterase activity	MF	keyword match	enterochelin	siderophores
GO:0009237	siderophore metabolic process	BP	keyword match	siderophore	siderophores
GO:0009238	enterobactin metabolic process	BP	child of GO:0009237	siderophore	siderophores
GO:0009239	enterobactin biosynthetic process	BP	child of GO:0009237	siderophore	siderophores
GO:0009267	cellular response to starvation	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0009289	pilus	CC	parent of GO:0044096	type IV pilus	biofilm
GO:0009297	pilus assembly	BP	parent of GO:0043683	type IV pilus	biofilm
GO:0009306	protein secretion	BP	parent of GO:0015628	secretion syst	secretion_system
GO:0009372	quorum sensing	BP	keyword match	quorum sensing	quorum_sensing
GO:0009432	SOS response	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0009585	"red, far-red light phototransduction"	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0009712	catechol-containing compound metabolic process	BP	parent of GO:0019540	siderophore	siderophores
GO:0009734	auxin-activated signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0009736	cytokinin-activated signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0009738	abscisic acid-activated signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0009742	brassinosteroid mediated signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0009755	hormone-mediated signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0009756	carbohydrate mediated signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0009757	hexose mediated signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0009785	blue light signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0009862	"systemic acquired resistance, salicylic acid mediated signaling pathway"	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0009863	salicylic acid mediated signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0009867	jasmonic acid mediated signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0009966	regulation of signal transduction	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0009967	positive regulation of signal transduction	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0009968	negative regulation of signal transduction	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0009970	cellular response to sulfate starvation	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0009987	cellular process	BP	parent of GO:0007154	cell communication	quorum_sensing
GO:0010017	red or far-red light signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0010106	cellular response to iron ion starvation	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0010128	benzoate catabolic process via CoA ligation	BP	child of GO:0017001	antibiotic catabolic process	antibiotic_degradation
GO:0010182	sugar mediated signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0010204	"defense response signaling pathway, resistance gene-independent"	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0010255	glucose mediated signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0010350	cellular response to magnesium starvation	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0010438	cellular response to sulfur starvation	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0010469	regulation of signaling receptor activity	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0010646	regulation of cell communication	BP	keyword match	cell communication	quorum_sensing
GO:0010647	positive regulation of cell communication	BP	keyword match	cell communication	quorum_sensing
GO:0010648	negative regulation of cell communication	BP	keyword match	cell communication	quorum_sensing
GO:0010699	cell-cell signaling involved in quorum sensing	BP	keyword match	quorum sensing	quorum_sensing
GO:0010738	regulation of protein kinase A signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0010739	positive regulation of protein kinase A signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0010749	regulation of nitric oxide mediated signal transduction	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0010751	negative regulation of nitric oxide mediated signal transduction	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0010769	regulation of cell morphogenesis involved in differentiation	BP	parent of GO:1900024	adhesi	biofilm
GO:0010771	negative regulation of cell morphogenesis involved in differentiation	BP	parent of GO:1900025	adhesi	biofilm
GO:0010810	regulation of cell-substrate adhesion	BP	parent of GO:1900187	biofilm	biofilm
GO:0010811	positive regulation of cell-substrate adhesion	BP	parent of GO:1900189	biofilm	biofilm
GO:0010812	negative regulation of cell-substrate adhesion	BP	keyword match	adhesi	biofilm
GO:0010881	regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0010882	regulation of cardiac muscle contraction by calcium ion signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0014065	phosphatidylinositol 3-kinase signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0014066	regulation of phosphatidylinositol 3-kinase signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0014067	negative regulation of phosphatidylinositol 3-kinase signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0014068	positive regulation of phosphatidylinositol 3-kinase signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0015343	siderophore transmembrane transporter activity	MF	keyword match	siderophore	siderophores
GO:0015344	siderophore uptake transmembrane transporter activity	MF	keyword match	siderophore	siderophores
GO:0015474	autotransporter activity	MF	parent of GO:0015475	adhesi	biofilm
GO:0015475	adhesin autotransporter activity	MF	keyword match	adhesi	biofilm
GO:0015603	iron chelate transmembrane transporter activity	MF	keyword match	chelate	siderophores
GO:0015620	ferric-enterobactin transmembrane transporter activity	MF	child of GO:0015343	siderophore	siderophores
GO:0015623	ATPase-coupled iron-chelate transporter activity	MF	keyword match	chelate	siderophores
GO:0015625	ATPase-coupled ferric-hydroxamate transmembrane transporter activity	MF	child of GO:0015603	chelate	siderophores
GO:0015627	type II protein secretion system complex	CC	keyword match	secretion syst	secretion_system
GO:0015628	protein secretion by the type II secretion system	BP	keyword match	secretion syst	secretion_system
GO:0015685	ferric-enterobactin import into cell	BP	child of GO:0015891	siderophore	siderophores
GO:0015687	ferric-hydroxamate import into cell	BP	child of GO:0015891	siderophore	siderophores
GO:0015791	polyol transport	BP	parent of GO:1905887	autoindu	quorum_sensing
GO:0015891	siderophore transport	BP	keyword match	siderophore	siderophores
GO:0015968	stringent response	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0016036	cellular response to phosphate starvation	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0016055	Wnt signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0016056	rhodopsin mediated signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0016062	adaptation of rhodopsin mediated signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0016139	glycoside catabolic process	BP	parent of GO:0030649	antibiotic catabolic process	antibiotic_degradation
GO:0016301	kinase activity	MF	parent of GO:0071518	autoindu	quorum_sensing
GO:0016462	pyrophosphatase activity	MF	parent of GO:0004309	exopoly	biofilm
GO:0016723	"oxidoreductase activity, oxidizing metal ions, NAD or NADP as acceptor"	MF	parent of GO:0000293	chelate	siderophores
GO:0016788	"hydrolase activity, acting on ester bonds"	MF	parent of GO:0008849	enterochelin	siderophores
GO:0016812	"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides"	MF	parent of GO:0008800	beta-lactamase	antibiotic_degradation
GO:0016999	antibiotic metabolic process	BP	parent of GO:0017001	antibiotic catabolic process	antibiotic_degradation
GO:0017001	antibiotic catabolic process	BP	parent of GO:0030655	beta-lactam antibiotic catabolic process	antibiotic_degradation
GO:0017015	regulation of transforming growth factor beta receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0019062	virion attachment to host cell	BP	child of GO:0022610	adhesi	biofilm
GO:0019184	nonribosomal peptide biosynthetic process	BP	parent of GO:0019290	siderophore	siderophores
GO:0019221	cytokine-mediated signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0019226	transmission of nerve impulse	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0019227	neuronal action potential propagation	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0019262	N-acetylneuraminate catabolic process	BP	child of GO:0017001	antibiotic catabolic process	antibiotic_degradation
GO:0019270	aerobactin biosynthetic process	BP	child of GO:0009237	siderophore	siderophores
GO:0019271	aerobactin transport	BP	child of GO:0015891	siderophore	siderophores
GO:0019289	rhizobactin 1021 biosynthetic process	BP	child of GO:0009237	siderophore	siderophores
GO:0019290	siderophore biosynthetic process	BP	keyword match	siderophore	siderophores
GO:0019338	pentachlorophenol catabolic process	BP	child of GO:0017001	antibiotic catabolic process	antibiotic_degradation
GO:0019380	3-phenylpropionate catabolic process	BP	child of GO:0017001	antibiotic catabolic process	antibiotic_degradation
GO:0019536	vibriobactin metabolic process	BP	child of GO:0009237	siderophore	siderophores
GO:0019537	vibriobactin biosynthetic process	BP	child of GO:0009237	siderophore	siderophores
GO:0019540	siderophore biosynthetic process from catechol	BP	keyword match	siderophore	siderophores
GO:0019543	propionate catabolic process	BP	child of GO:0017001	antibiotic catabolic process	antibiotic_degradation
GO:0019596	mandelate catabolic process	BP	child of GO:0017001	antibiotic catabolic process	antibiotic_degradation
GO:0019629	"propionate catabolic process, 2-methylcitrate cycle"	BP	child of GO:0017001	antibiotic catabolic process	antibiotic_degradation
GO:0019722	calcium-mediated signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0019748	secondary metabolic process	BP	parent of GO:0009237	siderophore	siderophores
GO:0019932	second-messenger-mediated signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0019933	cAMP-mediated signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0019934	cGMP-mediated signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0019935	cyclic-nucleotide-mediated signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0022407	regulation of cell-cell adhesion	BP	keyword match	adhesi	biofilm
GO:0022408	negative regulation of cell-cell adhesion	BP	keyword match	adhesi	biofilm
GO:0022409	positive regulation of cell-cell adhesion	BP	keyword match	adhesi	biofilm
GO:0022411	cellular component disassembly	BP	parent of GO:0022617	extracellular matrix	biofilm
GO:0022607	cellular component assembly	BP	parent of GO:0085029	extracellular matrix	biofilm
GO:0022610	biological adhesion	BP	keyword match	adhesi	biofilm
GO:0022617	extracellular matrix disassembly	BP	keyword match	extracellular matrix	biofilm
GO:0022857	transmembrane transporter activity	MF	parent of GO:0015603	chelate	siderophores
GO:0023014	signal transduction by protein phosphorylation	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0023052	signaling	BP	parent of GO:0007267	cell signaling	quorum_sensing
GO:0023058	adaptation of signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0023061	signal release	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0030072	peptide hormone secretion	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0030073	insulin secretion	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0030111	regulation of Wnt signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0030112	glycocalyx	CC	keyword match	glycocalyx	biofilm
GO:0030114	slime layer	CC	child of GO:0030112	glycocalyx	biofilm
GO:0030155	regulation of cell adhesion	BP	keyword match	adhesi	biofilm
GO:0030177	positive regulation of Wnt signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0030178	negative regulation of Wnt signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0030197	"extracellular matrix constituent, lubricant activity"	MF	keyword match	extracellular matrix	biofilm
GO:0030198	extracellular matrix organization	BP	keyword match	extracellular matrix	biofilm
GO:0030199	collagen fibril organization	BP	child of GO:0030198	extracellular matrix	biofilm
GO:0030253	protein secretion by the type I secretion system	BP	keyword match	secretion syst	secretion_system
GO:0030254	protein secretion by the type III secretion system	BP	keyword match	secretion syst	secretion_system
GO:0030255	protein secretion by the type IV secretion system	BP	keyword match	secretion syst	secretion_system
GO:0030256	type I protein secretion system complex	CC	keyword match	secretion syst	secretion_system
GO:0030257	type III protein secretion system complex	CC	keyword match	secretion syst	secretion_system
GO:0030312	external encapsulating structure	CC	parent of GO:0030112	glycocalyx	biofilm
GO:0030313	cell envelope	CC	parent of GO:0030112	glycocalyx	biofilm
GO:0030330	"DNA damage response, signal transduction by p53 class mediator"	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0030420	establishment of competence for transformation	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0030510	regulation of BMP signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0030512	negative regulation of transforming growth factor beta receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0030514	negative regulation of BMP signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0030518	intracellular steroid hormone receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0030520	intracellular estrogen receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0030522	intracellular receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0030647	aminoglycoside antibiotic metabolic process	BP	parent of GO:0030649	antibiotic catabolic process	antibiotic_degradation
GO:0030649	aminoglycoside antibiotic catabolic process	BP	keyword match	antibiotic catabolic process	antibiotic_degradation
GO:0030653	beta-lactam antibiotic metabolic process	BP	parent of GO:0030655	beta-lactam antibiotic catabolic process	antibiotic_degradation
GO:0030655	beta-lactam antibiotic catabolic process	BP	keyword match	beta-lactam antibiotic catabolic process	antibiotic_degradation
GO:0030968	endoplasmic reticulum unfolded protein response	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0031012	extracellular matrix	CC	parent of GO:0062039	biofilm	biofilm
GO:0031098	stress-activated protein kinase signaling cascade	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0031152	aggregation involved in sorocarp development	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0031157	regulation of aggregate size involved in sorocarp development	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0031158	negative regulation of aggregate size involved in sorocarp development	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0031326	regulation of cellular biosynthetic process	BP	parent of GO:1900704	siderophore	siderophores
GO:0031327	negative regulation of cellular biosynthetic process	BP	parent of GO:1900705	siderophore	siderophores
GO:0031346	positive regulation of cell projection organization	BP	parent of GO:1903658	type IV pilus	biofilm
GO:0031589	cell-substrate adhesion	BP	parent of GO:0043708	biofilm	biofilm
GO:0031663	lipopolysaccharide-mediated signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0031664	regulation of lipopolysaccharide-mediated signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0031665	negative regulation of lipopolysaccharide-mediated signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0031666	positive regulation of lipopolysaccharide-mediated signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0031668	cellular response to extracellular stimulus	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0031669	cellular response to nutrient levels	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0031670	cellular response to nutrient	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0031929	TOR signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0032006	regulation of TOR signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0032007	negative regulation of TOR signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0032008	positive regulation of TOR signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0032012	regulation of ARF protein signal transduction	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0032222	"regulation of synaptic transmission, cholinergic"	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0032482	Rab protein signal transduction	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0032872	regulation of stress-activated MAPK cascade	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0032873	negative regulation of stress-activated MAPK cascade	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0032874	positive regulation of stress-activated MAPK cascade	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0032925	regulation of activin receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0032933	SREBP signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0032940	secretion by cell	BP	parent of GO:0044097	secretion syst	secretion_system
GO:0032991	protein-containing complex	CC	parent of GO:0098636	adhesi	biofilm
GO:0032991	protein-containing complex	CC	parent of GO:0015627	secretion syst	secretion_system
GO:0033103	protein secretion by the type VI secretion system	BP	keyword match	secretion syst	secretion_system
GO:0033104	type VI protein secretion system complex	CC	keyword match	secretion syst	secretion_system
GO:0033143	regulation of intracellular steroid hormone receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0033144	negative regulation of intracellular steroid hormone receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0033146	regulation of intracellular estrogen receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0033147	negative regulation of intracellular estrogen receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0033211	adiponectin-activated signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0033212	iron import into cell	BP	parent of GO:0033214	siderophore	siderophores
GO:0033214	siderophore-dependent iron import into cell	BP	keyword match	siderophore	siderophores
GO:0033217	regulation of transcription from RNA polymerase II promoter in response to iron ion starvation	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0033250	penicillinase activity	MF	child of GO:0008800	beta-lactamase	antibiotic_degradation
GO:0033251	cephalosporinase activity	MF	child of GO:0008800	beta-lactamase	antibiotic_degradation
GO:0033252	regulation of beta-lactamase activity	BP	keyword match	beta-lactamase	antibiotic_degradation
GO:0033692	cellular polysaccharide biosynthetic process	BP	parent of GO:0045226	extracellular polysacch	biofilm
GO:0034121	regulation of toll-like receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0034122	negative regulation of toll-like receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0034127	regulation of MyD88-independent toll-like receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0034128	negative regulation of MyD88-independent toll-like receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0034134	toll-like receptor 2 signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0034138	toll-like receptor 3 signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0034142	toll-like receptor 4 signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0034198	cellular response to amino acid starvation	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0034224	cellular response to zinc ion starvation	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0034248	regulation of cellular amide metabolic process	BP	parent of GO:1900704	siderophore	siderophores
GO:0034249	negative regulation of cellular amide metabolic process	BP	parent of GO:1900705	siderophore	siderophores
GO:0035023	regulation of Rho protein signal transduction	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0035024	negative regulation of Rho protein signal transduction	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0035103	sterol regulatory element binding protein cleavage	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0035235	ionotropic glutamate receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0035425	autocrine signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0035556	intracellular signal transduction	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0035722	interleukin-12-mediated signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
