species	total_cds	annotated_cds	biofilm	ab_degradation	quorum_sensing	siderophores	secretion_system_no4
Coriobacteriaceae_bacterium_58375	1970	1552	3	1	1	0	0
Coriobacteriaceae_bacterium_58649	1947	1570	1	2	1	0	0
Coxiella_burnetii_53221-227377.7	2132	1460	3	2	0	1	2
Cronobacter_malonaticus_56861-1401659.3	4266	3477	31	6	1	18	2
Cronobacter_sakazakii_57088-1208663.3	4490	3396	29	7	1	11	2
Eggerthella_lenta_56463	3019	2420	5	3	0	2	1
Enterobacter_cloacae_57303	4552	3814	31	5	3	15	11
Enterobacter_cloacae_58148	4710	3862	39	8	3	18	10
Enterococcus_avium_44557	4589	3735	15	2	2	0	1
Enterococcus_durans_52177	3122	2465	9	1	2	0	1
Enterococcus_faecalis_55915-1260358.4	4012	3087	9	2	1	0	4
Enterococcus_faecalis_56297-1158976.3	3306	2606	10	3	2	0	1
Enterococcus_faecalis_56297	3306	2606	10	3	2	0	1
Enterococcus_faecalis_59809-1260356.4	2804	2228	9	1	2	0	1
Enterococcus_faecium_56710	2723	2281	8	1	2	0	1
Enterococcus_faecium_56947	2712	2262	6	1	3	0	1
Erysipelotrichaceae_bacterium_56596	4561	3414	2	1	2	0	2
Escherichia_coli_58110-1048689.4	10192	4739	54	17	4	22	3
Escherichia_coli_58110-198214.7	5527	4574	44	13	3	21	2
Escherichia_coli_58110-300267.13	5785	2955	27	2	0	18	0
Escherichia_coli_58110-300269.12	5693	1007	18	6	0	13	0
Escherichia_coli_58110-331111.12	5196	4328	65	22	4	18	10
Escherichia_coli_58110-344610.7	5526	4554	64	19	4	21	22
Escherichia_coli_58110-585055.8	5178	4293	68	22	4	22	10
Escherichia_coli_58110-766166.3	5280	4319	68	22	4	19	4
Eubacterium_cylindroides_56237	1908	1600	2	1	2	0	1
Eubacterium_dolichum_61501	2079	1696	2	1	1	0	1
Francisella_tularensis_57093-119857.20	3853	1721	7	5	0	1	2
Francisella_tularensis_57093-393115.11	2095	1721	7	5	0	1	2
Fusobacterium_gonidiaformans_57045	1895	1466	3	2	0	2	2
Fusobacterium_mortiferum_61584	2580	2007	4	2	0	2	3
Fusobacterium_nucleatum_57450	2433	1824	4	3	1	3	3
Fusobacterium_sp_62349	2091	1621	3	2	1	2	1
Fusobacterium_ulcerans_55476	3581	2694	6	5	0	3	4
Gardnerella_vaginalis_57030-904144.3	1190	1031	2	1	1	0	0
Gardnerella_vaginalis_58127-682147.3	1217	1057	2	0	1	0	0
Gardnerella_vaginalis_58140-525284.18	1345	1148	2	1	1	0	0
Gardnerella_vaginalis_58289-698957.3	1195	1039	2	1	1	0	0
Gemella_morbillorum_61817	1632	1411	5	2	1	0	0
Haemophilus_ducreyi_61040-233412.5	1705	1399	4	2	1	1	0
Haemophilus_parainfluenzae_62356	1987	1752	3	4	1	6	0
Helicobacter_pylori_39970-1345593.3	1607	1253	1	11	1	1	1
Helicobacter_pylori_39978-1345525.3	1545	1217	1	10	1	1	1
Helicobacter_pylori_48366-1354720.3	1690	1298	1	9	1	1	1
Helicobacter_pylori_55393-1345571.3	1660	1277	1	10	1	1	1
Helicobacter_pylori_58188-1451267.3	1632	1280	1	10	1	1	1
Helicobacter_pylori_58201-1345556.3	1676	1284	1	10	1	1	1
Helicobacter_pylori_58275-563041.6	1665	1308	1	10	1	1	1
Helicobacter_pylori_59240-1145114.3	1631	1269	1	10	1	1	1
Helicobacter_pylori_59243-1145117.3	1638	1272	1	10	1	1	1
Helicobacter_pylori_59270-1156915.3	1569	1156	1	9	1	1	1
Helicobacter_pylori_59598-1222003.3	1667	1287	1	9	1	1	1
Helicobacter_pylori_60155-1337393.3	1643	1225	1	8	0	1	1
Helicobacter_pylori_60160-1338534.3	1665	1288	1	12	1	1	1
Helicobacter_pylori_60187-1345508.3	1600	1250	1	10	1	1	1
Helicobacter_pylori_60189-1345551.3	1630	1235	1	10	1	1	1
Helicobacter_pylori_61834-570508.6	1685	1292	1	8	1	2	1
Helicobacter_pylori_62294-765962.4	1647	1284	1	10	1	2	1
Helicobacter_pylori_62341-85963.7	1623	1269	1	10	1	1	1
Helicobacter_pylori_62663-992024.3	1623	1296	1	9	1	1	1
Helicobacter_pylori_62667-992030.3	1672	1289	1	9	1	1	1
Helicobacter_pylori_62669-992034.3	1736	1322	1	9	1	1	1
Helicobacter_pylori_62681-992064.3	1674	1308	1	11	1	2	1
Helicobacter_pylori_62682-992081.3	1552	1248	1	11	1	2	1
Intestinimonas_butyriciproducens_60001	2418	2015	2	7	1	0	0
Jeddahella_massiliensis_35045	2170	1755	2	3	2	0	0
Klebsiella_oxytoca_56762	5988	5023	47	14	3	21	20
Klebsiella_pneumoniae_54688	5513	4633	33	12	3	15	10
Klebsiella_pneumoniae_57337	4817	4219	27	13	3	15	10
Lachnospiraceae_bacterium_56275	2795	2232	2	2	2	0	0
Lachnospiraceae_bacterium_62050	3253	2490	2	2	2	0	1
Lachnospiraceae_bacterium_62206	2085	1714	2	3	3	0	0
Lactobacillus_acidophilus_51143	1867	1618	6	1	1	0	1
Lactobacillus_amylovorus_55674	1995	1664	7	1	1	0	1
Lactobacillus_crispatus_56887	2421	1884	4	2	1	0	1
Lactobacillus_fermentum_54035	1746	1526	1	0	1	0	0
Lactobacillus_gasseri_55553	1952	1638	7	1	1	0	1
Lactobacillus_johnsonii_57663	1792	1529	6	1	1	0	1
Lactobacillus_mucosae_57556	2011	1616	3	0	1	0	1
Lactobacillus_paracasei_55666	2975	2378	9	0	1	0	0
Lactobacillus_reuteri_57957	1899	1596	4	1	1	0	1
Lactobacillus_salivarius_56672	2278	1762	4	2	1	0	0
Lactobacillus_sanfranciscensis_62185	1403	1174	1	0	0	0	1
Lactococcus_garvieae_57061	2287	1902	6	1	1	0	1
Lactococcus_lactis_57073	2659	2242	10	1	1	0	1
Legionella_pneumophila_55786-91892.5	3283	2402	5	12	0	2	11
Legionella_pneumophila_57315-297246.15	3481	2539	5	12	0	3	11
Legionella_pneumophila_62513-91890.3	3244	2412	5	12	1	2	11
Listeria_monocytogenes_53478-1639.536	3005	2502	11	2	2	0	1
Listeria_monocytogenes_56337-563174.3	3010	2473	11	2	2	0	1
Listeria_monocytogenes_56580-1234142.3	3493	2519	11	2	2	0	1
Megasphaera_elsdenii_56779	2248	1837	2	1	0	0	2
Megasphaera_sp_50408	2505	1941	3	1	0	0	2
Megasphaera_sp_59658	2421	1925	3	2	0	0	2
Mitsuokella_jalaludinii_60453	2152	1833	2	2	0	2	2
Mitsuokella_multacida_61656	2231	1919	1	2	0	2	2
Mycobacterium_avium_56142-1427296.3	4822	3929	6	8	0	3	0
Mycobacterium_tuberculosis_57144-1324261.3	5731	4688	3	7	0	8	0
Mycobacterium_tuberculosis_57439-1344047.3	4311	749	2	0	0	1	0
Mycoplasma_pneumoniae_00000-1112856.4	767	575	2	0	0	0	2
Neisseria_gonorrhoeae_53748-528353.5	2379	1694	9	6	1	6	3
Neisseria_meningitidis_57493-1200386.3	2518	1653	6	5	1	7	5
Neisseria_meningitidis_58195-487.481	3452	1974	7	4	1	4	5
Orientia_tsutsugamushi_57793-357244.4	2364	1486	0	0	0	0	1
Parabacteroides_gordonii_58986	5362	3803	7	4	0	6	2
Paraprevotella_xylaniphila_62280	3145	2159	5	1	1	1	0
Parvimonas_micra_57958	1598	1326	5	1	0	0	1
Peptoniphilus_harei_62491	1730	1474	4	1	0	0	2
Peptostreptococcus_anaerobius_55004	1943	1586	2	4	0	0	1
Peptostreptococcus_stomatis_61922	1821	1481	2	2	0	0	2
Phascolarctobacterium_succinatutens_59819	2235	1719	1	2	0	2	2
Plesiomonas_shigelloides_57360-703.7	3380	2750	8	9	1	0	21
Porphyromonas_asaccharolytica_56465	1654	1255	3	1	1	2	0
Porphyromonas_somerae_59001	1913	1352	3	3	0	3	0
Porphyromonas_uenonis_49360	1712	1283	5	2	1	2	0
Prevotella_intermedia_57633	2306	1644	2	1	1	2	0
Prevotella_nigrescens_56706	2314	1605	2	1	1	1	0
Pseudomonas_aeruginosa_55861-1262663.10	6682	4688	31	12	3	25	32
Pseudomonas_aeruginosa_57148-287.878	6145	5097	40	15	3	34	70
Rickettsia_prowazekii_51996-1105096.3	901	810	0	0	0	0	1
Rickettsia_rickettsii_57256-1105100.3	1593	1191	1	1	0	0	1
Rickettsia_rickettsii_57256-272944.4	1578	1318	1	1	0	0	1
Ruminococcaceae_bacterium_61777	3168	2401	1	4	0	0	0
Ruminococcus_champanellensis_61009	2313	1789	3	0	1	1	4
Ruminococcus_obeum_62046	3559	2732	2	1	1	0	1
Ruminococcus_sp_58571	3649	2624	3	1	1	0	2
Salmonella_enterica_58156-1008297.7	8778	3713	39	11	3	13	9
Salmonella_enterica_58156-1132507.4	5145	3911	40	10	3	13	10
Salmonella_enterica_58156-295319.15	4679	3713	39	11	3	13	9
Solobacterium_moorei_56880	1936	1598	1	2	1	0	1
Staphylococcus_aureus_37016-1418406.3	2614	2276	5	3	2	6	0
Staphylococcus_aureus_56630-904783.3	2659	2276	9	3	2	6	0
Staphylococcus_aureus_57331-1413510.3	2785	2404	5	3	2	3	0
Staphylococcus_epidermidis_57523-1388003.3	2347	2042	5	3	2	2	0
Staphylococcus_haemolyticus_57278-904802.3	2509	2154	8	4	2	3	0
Staphylococcus_hominis_57055-1388318.3	2242	1931	5	4	2	2	0
Staphylococcus_lugdunensis_54043-1409679.3	2396	2119	8	4	2	1	0
Stenotrophomonas_maltophilia_55906-1163399.5	4340	3394	13	10	0	12	17
Stenotrophomonas_maltophilia_56340-1429851.3	4109	3262	15	11	0	16	17
Stenotrophomonas_maltophilia_56584-1279018.3	3956	3178	20	10	0	14	17
Stenotrophomonas_maltophilia_56867-1190567.3	8708	6816	24	26	0	28	34
Stenotrophomonas_maltophilia_57083-40324.44	4071	3297	15	10	0	16	17
Stenotrophomonas_maltophilia_58653-1118235.3	3899	3075	14	11	0	12	9
Stenotrophomonas_maltophilia_59502-1210005.3	3722	2829	5	11	0	11	9
Stenotrophomonas_maltophilia_59679-1235458.3	4067	3188	15	11	0	13	17
Stenotrophomonas_maltophilia_61398-391008.4	4097	2511	8	7	0	17	17
Stenotrophomonas_maltophilia_61460-40324.43	4169	3315	15	11	0	18	18
Stenotrophomonas_maltophilia_61461-40324.45	3559	2822	15	8	0	13	11
Stenotrophomonas_maltophilia_62375-868597.3	4124	3245	15	9	0	18	17
Streptococcus_anginosus_58032	1926	1708	7	2	1	0	1
Streptococcus_gallolyticus_57748	2306	2033	8	3	1	0	1
Streptococcus_infantarius_58294	1774	1596	5	1	1	0	0
Streptococcus_infantis_58320	1745	1556	10	1	1	0	1
Streptococcus_lutetiensis_58501	2020	1752	6	2	1	0	1
Streptococcus_mutans_56116	1864	1678	9	3	1	0	1
Streptococcus_parasanguinis_58126	1939	1728	8	2	1	0	1
Streptococcus_pleomorphus_59089	1982	1662	3	2	1	0	1
Streptococcus_pyogenes_56747-1207470.4	1929	1592	4	2	1	1	1
Streptococcus_salivarius_58022	2165	1906	9	2	1	0	1
Streptococcus_salivarius_58024	2273	1928	9	2	1	0	1
Streptococcus_salivarius_58037	1961	1784	9	2	1	0	1
Streptococcus_sobrinus_56802	1979	1671	6	3	2	0	1
Streptococcus_thermophilus_54772	2074	1726	5	2	1	2	1
Streptococcus_vestibularis_56030	1807	1596	7	2	1	0	1
Treponema_pallidum_55260-686990.3	1057	794	3	0	0	0	1
Turicibacter_sanguinis_52329	2743	2239	2	4	1	0	0
Veillonella_atypica_58169	1876	1545	3	3	0	0	2
Veillonella_dispar_61763	1862	1555	4	4	0	0	1
Veillonella_parvula_57794	1895	1583	3	4	0	0	1
Veillonella_parvula_58184	2026	1671	4	4	0	0	2
Veillonella_sp_62404	1973	1624	3	3	0	0	1
Vibrio_alginolyticus_56291-1441611.4	5084	3924	8	9	2	12	24
Vibrio_cholerae_56566-1095659.3	3581	2990	8	6	1	11	16
Vibrio_cholerae_57327-914149.18	3643	3103	9	6	1	12	16
Vibrio_fluvialis_57225-1315314.5	4057	3499	11	6	2	12	16
Vibrio_parahaemolyticus_57034-670.114	4647	3748	11	9	2	11	21
Vibrio_vulnificus_58105-672.95	4730	1536	2	3	0	2	4
Weissella_confusa_59158	2063	1666	8	0	1	0	1
Yersinia_enterocolitica_57651-940287.3	4165	3459	34	6	4	7	14
Yersinia_enterocolitica_60538-1443113.3	5385	1432	10	2	0	7	7
Yersinia_pestis_56773-1084233.3	4377	3433	27	6	4	13	24
Yersinia_pestis_56773-273123.10	4745	3575	29	6	5	12	23
Acidaminococcus_intestini_54097	2393	1854	2	6	1	2	2
Akkermansia_muciniphila_55290	2498	1681	4	4	0	0	3
Alistipes_finegoldii_56071	3021	2123	4	2	0	3	0
Alistipes_indistinctus_62207	2419	1770	2	2	0	2	1
Alistipes_onderdonkii_55464	3314	2290	7	3	0	4	0
Alistipes_putredinis_61533	2337	1395	2	2	0	3	0
Alistipes_senegalensis_58364	3301	2238	4	3	0	3	0
Alistipes_shahii_62199	3258	2132	3	3	0	4	0
Alistipes_sp_59510	2508	1630	1	1	0	3	1
Alistipes_sp_60764	2130	1366	2	1	0	2	0
Anaerostipes_hadrus_55206	3007	2399	4	1	2	1	0
Bacteroidales_bacterium_58650	2803	1780	3	3	0	4	0
Bacteroides_caccae_53434	3668	2817	6	4	0	6	0
Bacteroides_cellulosilyticus_58046	5068	3738	5	5	0	6	0
Bacteroides_clarus_62282	3107	2384	3	4	1	3	0
Bacteroides_coprocola_61586	3814	2592	3	5	1	3	2
Bacteroides_coprophilus_61767	3306	2381	4	4	1	4	3
Bacteroides_eggerthii_54457	4125	2838	5	8	1	7	1
Bacteroides_faecis_58503	4872	3581	10	5	0	8	0
Bacteroides_finegoldii_57739	4194	2999	5	5	0	7	0
Bacteroides_fragilis_54507	5165	3461	7	3	0	6	7
Bacteroides_fragilis_56548	4879	3367	10	4	1	6	0
Bacteroides_intestinalis_61596	4723	3565	3	5	0	7	0
Bacteroides_massiliensis_44749	4498	2912	4	4	1	3	5
Bacteroides_nordii_55557	5171	3288	7	4	0	7	0
Bacteroides_ovatus_58035	6590	4419	12	7	0	10	2
Bacteroides_pectinophilus_61619	2982	2273	4	0	5	3	2
Bacteroides_plebeius_61623	3597	2690	6	5	1	4	0
Bacteroides_salyersiae_54873	4298	3063	12	4	0	7	0
Bacteroides_stercoris_56735	3410	2485	5	3	1	4	0
Bacteroides_thetaiotaomicron_56941	5209	3754	9	6	0	11	0
Bacteroides_uniformis_57318	4110	2782	4	6	1	4	0
Bacteroides_vulgatus_57955	4303	3114	7	4	1	4	0
Bacteroides_xylanisolvens_57185	4670	3444	6	4	0	7	0
Barnesiella_intestinihominis_62208	2990	2010	6	3	1	3	0
Bifidobacterium_adolescentis_56815	1967	1594	2	0	1	0	1
Bifidobacterium_catenulatum_58257	1745	1448	1	0	1	0	0
Bifidobacterium_longum_57796	2058	1663	2	1	1	0	0
Blautia_wexlerae_56130	4401	3212	4	1	6	2	3
Brachyspira_aalborgi_61157	2341	1687	2	0	0	0	1
Burkholderiales_bacterium_56577	2420	1887	2	2	0	1	0
Butyricimonas_virosa_58742	4008	2745	4	2	1	10	1
Butyrivibrio_crossotus_61674	2406	1917	5	0	5	0	1
Catenibacterium_mitsuokai_61547	1560	1433	2	1	1	0	1
Clostridiales_bacterium_56470	4857	3011	5	4	0	7	1
Clostridiales_bacterium_61057	3302	2421	5	2	1	2	2
Clostridium_bolteae_57158	6063	4683	8	5	1	1	5
Clostridium_leptum_61499	3105	2249	1	1	1	1	0
Clostridium_nexile_61654	3796	2798	2	3	4	3	0
Clostridium_sp_61482	2604	2066	2	2	3	1	1
Clostridium_spiroforme_61500	2318	1961	5	1	2	1	1
Collinsella_sp_62205	1924	1610	3	3	1	0	0
Coprobacillus_sp_47700	3889	2979	0	2	3	0	1
Coprobacter_fastidiosus_56550	3411	2298	5	3	1	3	0
Coprobacter_sp_60889	3387	2408	5	4	0	3	0
Coprococcus_catus_62200	3317	2520	3	2	2	5	1
Coprococcus_comes_61587	3218	2442	2	0	1	1	0
Coprococcus_eutactus_61480	2597	2126	2	1	2	2	1
Coprococcus_sp_62244	2593	2013	2	1	1	2	1
Desulfovibrio_piger_61475	2486	1818	0	3	0	0	2
Dialister_invisus_61905	1955	1435	1	2	0	11	3
Dialister_succinatiphilus_62213	2150	1603	1	6	0	2	2
Dorea_formicigenerans_56346	3871	2931	3	1	3	4	0
Dorea_longicatena_59913	3597	2726	3	1	1	3	0
Dorea_longicatena_61473	2769	2306	4	1	1	1	0
Erysipelotrichaceae_bacterium_55770	2887	2283	3	1	1	2	1
Escherichia_coli_58110	3989	3507	49	15	4	23	2
Eubacterium_biforme_61684	2311	1888	2	1	1	0	1
Eubacterium_eligens_61678	2632	2188	5	1	4	1	2
Eubacterium_hallii_61477	2893	2307	3	4	3	2	0
Eubacterium_ramulus_59802	3215	2440	0	2	1	1	0
Eubacterium_rectale_56927	3105	2401	5	2	8	1	2
Eubacterium_siraeum_57634	2375	1870	2	0	0	2	4
Eubacterium_ventriosum_61474	2543	1962	1	2	5	0	0
Faecalibacterium_cf_62236	2783	2027	2	0	1	0	0
Faecalibacterium_prausnitzii_57453	2776	2115	3	0	1	1	0
Faecalibacterium_prausnitzii_61481	2791	2121	3	1	1	2	0
Faecalibacterium_prausnitzii_62201	3231	2266	4	1	1	2	0
Guyana_massiliensis_60772	2894	2335	3	3	6	2	1
Klebsiella_oxytoca_54123	5560	4721	78	13	4	27	10
Klebsiella_pneumoniae_54788	4547	3800	26	11	3	11	11
Lachnospiraceae_bacterium_51870	2767	2099	1	0	3	1	0
Lachnospiraceae_bacterium_56833	10188	5660	8	6	0	2	4
Lactobacillus_ruminis_57020	2074	1618	5	1	1	1	2
Megamonas_hypermegale_57114	2453	1981	1	6	0	5	2
Odoribacter_laneus_62216	3304	2322	4	2	1	4	1
Odoribacter_splanchnicus_62174	3831	2586	3	1	1	10	1
Oscillibacter_sp_60799	2785	1929	2	3	0	1	0
Oscillospiraceae_bacterium_54867	3723	2577	1	3	0	1	0
Parabacteroides_distasonis_56985	4511	3254	6	2	0	9	0
Parabacteroides_goldsteinii_56831	5539	3890	5	3	0	6	0
Parabacteroides_johnsonii_55217	3842	2872	4	3	0	7	2
Parabacteroides_merdae_56972	3663	2775	6	2	0	5	0
Paraprevotella_clara_33712	3442	2316	4	3	1	2	0
Phascolarctobacterium_sp_59817	2303	1829	2	2	0	8	7
Phascolarctobacterium_sp_59818	1812	1446	1	1	0	2	1
Phascolarctobacterium_succinatutens_61948	1979	1623	1	3	0	7	2
Prevotella_copri_61740	2808	2003	2	4	1	3	0
Prevotella_sp_54790	2348	1747	2	2	1	3	0
Prevotella_stercorea_58308	2480	1795	2	2	1	5	1
Roseburia_hominis_61877	3388	2641	6	2	2	2	1
Roseburia_intestinalis_56239	3963	2927	4	2	7	3	1
Roseburia_inulinivorans_61943	3996	2980	4	3	5	0	1
Ruminococcus_bicirculans_59300	2746	2068	1	3	3	0	2
Ruminococcus_bromii_62047	2169	1674	7	1	1	1	0
Ruminococcus_callidus_61479	2946	1952	1	1	3	1	0
Ruminococcus_gnavus_57638	3521	2665	3	1	2	4	0
Ruminococcus_lactaris_55568	2524	1985	5	1	1	2	0
Ruminococcus_obeum_61472	3547	2702	5	1	2	2	0
Ruminococcus_sp_55468	3442	2623	4	2	1	2	0
Ruminococcus_torques_62045	3121	2468	5	2	3	4	0
Subdoligranulum_sp_62068	4486	2914	3	1	2	1	0
Sutterella_wadsworthensis_56828	2560	1961	2	0	0	7	0
Sutterella_wadsworthensis_62218	2374	1753	0	0	0	1	0
